Descriptor,Precision,Recall,Accuracy,F1,AUC,MCC,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD,
PC,0.957,0.9915,0.9506,0.9739,0.7098,0.5476,,0.0162,0.0137,0.0236,0.0125,0.1137,0.2433,
ECFP4,0.9606,0.9976,0.9594,0.9786,0.7341,0.6031,,0.0185,0.003,0.0173,0.0089,0.129,0.2522,
MIX,0.9615,0.9982,0.9608,0.9794,0.7404,0.6148,,0.0193,0.0027,0.0184,0.0094,0.1343,0.2632,
