Descriptor,Precision,Recall,Accuracy,F1,AUC,MCC,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD,
PC,0.834,0.4978,0.7132,0.5605,0.6946,0.4361,,0.1194,0.2694,0.1083,0.263,0.1197,0.2078,
ECFP4,0.9488,0.775,0.8767,0.8279,0.868,0.7614,,0.0604,0.2148,0.0973,0.1939,0.1068,0.1813,
MIX,0.9474,0.7546,0.8672,0.8135,0.8575,0.7438,,0.063,0.219,0.0987,0.197,0.1085,0.184,
