Descriptor,Precision,Recall,Accuracy,F1,AUC,MCC,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD,
PC,0.9847,0.9956,0.9816,0.9901,0.899,0.8564,,0.0022,0.0008,0.0021,0.0011,0.0145,0.0175,
ECFP4,0.9808,0.9969,0.979,0.9888,0.8734,0.8334,,0.0019,0.0008,0.0015,0.0008,0.0123,0.0133,
MIX,0.9812,0.998,0.9805,0.9896,0.8768,0.8457,,0.0014,0.0011,0.002,0.0011,0.0092,0.0166,
