Enzyme,Descriptor,Mean,Min,Max,Std Dev
HIV-1 IN,PC,0.88,0.7074,0.9365,0.0776
HIV-1 IN,ECFP4,0.88,0.7121,0.9463,0.0777
HIV-1 IN,MIX,0.8758,0.7202,0.937,0.0736
HIV-1 PR,PC,0.9654,0.9299,0.9797,0.0144
HIV-1 PR,ECFP4,0.9649,0.9275,0.9792,0.0156
HIV-1 PR,MIX,0.9651,0.9294,0.9773,0.0145
HIV-1 RT,PC,0.8724,0.7193,0.929,0.0721
HIV-1 RT,ECFP4,0.8556,0.7169,0.9221,0.0775
HIV-1 RT,MIX,0.8706,0.7193,0.9248,0.0717
