model,Descriptor,Enzyme,scaler,split,Accuracy,kernel
gpc,PC,HIV-1 IN,minmax,3,0.846252129471891,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 IN,minmax,3,0.8471039182282794,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 IN,minmax,3,0.846252129471891,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 IN,minmax,3,0.8500851788756388,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 IN,minmax,3,0.7670357751277683,DotProduct(sigma_0=1)
gpc,PC,HIV-1 IN,minmax,3,0.8526405451448041,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 IN,minmax,4,0.858603066439523,RBF(length_scale=0.5)
gpc,PC,HIV-1 IN,minmax,4,0.858603066439523,RBF(length_scale=1)
gpc,PC,HIV-1 IN,minmax,4,0.858603066439523,RBF(length_scale=2)
gpc,PC,HIV-1 IN,minmax,4,0.8517887563884157,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 IN,minmax,4,0.8509369676320273,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 IN,minmax,4,0.8517887563884157,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 IN,minmax,4,0.8560477001703578,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 IN,minmax,4,0.7691652470187393,DotProduct(sigma_0=1)
gpc,PC,HIV-1 IN,minmax,4,0.858603066439523,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,ECFP4,HIV-1 IN,std,1,0.8598807495741057,RBF(length_scale=0.5)
gpc,ECFP4,HIV-1 IN,std,1,0.899488926746167,RBF(length_scale=1)
gpc,ECFP4,HIV-1 IN,std,1,0.899488926746167,RBF(length_scale=2)
gpc,ECFP4,HIV-1 IN,std,1,0.899488926746167,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,ECFP4,HIV-1 IN,std,1,0.8960817717206133,"Matern(length_scale=1, nu=0.5)"
gpc,ECFP4,HIV-1 IN,std,1,0.895655877342419,"Matern(length_scale=1, nu=1.5)"
gpc,ECFP4,HIV-1 IN,std,1,0.895655877342419,"Matern(length_scale=1, nu=2.5)"
gpc,ECFP4,HIV-1 IN,std,1,0.944633730834753,DotProduct(sigma_0=1)
gpc,ECFP4,HIV-1 IN,std,1,0.899488926746167,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,ECFP4,HIV-1 IN,std,2,0.8624361158432708,RBF(length_scale=0.5)
gpc,ECFP4,HIV-1 IN,std,2,0.9612436115843273,RBF(length_scale=1)
gpc,ECFP4,HIV-1 IN,std,2,0.8888415672913118,RBF(length_scale=2)
gpc,ECFP4,HIV-1 IN,std,2,0.8888415672913118,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,ECFP4,HIV-1 IN,std,2,0.8858603066439523,"Matern(length_scale=1, nu=0.5)"
gpc,ECFP4,HIV-1 IN,std,2,0.8841567291311755,"Matern(length_scale=1, nu=1.5)"
gpc,ECFP4,HIV-1 IN,std,2,0.8858603066439523,"Matern(length_scale=1, nu=2.5)"
gpc,ECFP4,HIV-1 IN,std,2,0.9471890971039182,DotProduct(sigma_0=1)
gpc,ECFP4,HIV-1 IN,std,2,0.8888415672913118,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,ECFP4,HIV-1 IN,std,3,0.8611584327086882,RBF(length_scale=0.5)
gpc,ECFP4,HIV-1 IN,std,3,0.8905451448040886,RBF(length_scale=1)
gpc,ECFP4,HIV-1 IN,std,3,0.8905451448040886,RBF(length_scale=2)
gpc,ECFP4,HIV-1 IN,std,3,0.8905451448040886,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,ECFP4,HIV-1 IN,std,3,0.8879897785349233,"Matern(length_scale=1, nu=0.5)"
gpc,ECFP4,HIV-1 IN,std,3,0.8879897785349233,"Matern(length_scale=1, nu=1.5)"
gpc,ECFP4,HIV-1 IN,std,3,0.887137989778535,"Matern(length_scale=1, nu=2.5)"
gpc,ECFP4,HIV-1 IN,std,3,0.946763202725724,DotProduct(sigma_0=1)
gpc,ECFP4,HIV-1 IN,std,3,0.8905451448040886,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,ECFP4,HIV-1 IN,std,4,0.8624361158432708,RBF(length_scale=0.5)
gpc,ECFP4,HIV-1 IN,std,4,0.9561328790459966,RBF(length_scale=1)
gpc,ECFP4,HIV-1 IN,std,4,0.8896933560477002,RBF(length_scale=2)
gpc,ECFP4,HIV-1 IN,std,4,0.8896933560477002,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,ECFP4,HIV-1 IN,std,4,0.8862862010221465,"Matern(length_scale=1, nu=0.5)"
gpc,ECFP4,HIV-1 IN,std,4,0.8850085178875639,"Matern(length_scale=1, nu=1.5)"
gpc,ECFP4,HIV-1 IN,std,4,0.8850085178875639,"Matern(length_scale=1, nu=2.5)"
gpc,ECFP4,HIV-1 IN,std,4,0.9450596252129472,DotProduct(sigma_0=1)
gpc,ECFP4,HIV-1 IN,std,4,0.8896933560477002,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,ECFP4,HIV-1 IN,minmax,1,0.8909710391822828,RBF(length_scale=0.5)
gpc,ECFP4,HIV-1 IN,minmax,1,0.8909710391822828,RBF(length_scale=1)
gpc,ECFP4,HIV-1 IN,minmax,1,0.8909710391822828,RBF(length_scale=2)
gpc,ECFP4,HIV-1 IN,minmax,1,0.8909710391822828,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,ECFP4,HIV-1 IN,minmax,1,0.8807495741056218,"Matern(length_scale=1, nu=0.5)"
gpc,ECFP4,HIV-1 IN,minmax,1,0.883304940374787,"Matern(length_scale=1, nu=1.5)"
gpc,ECFP4,HIV-1 IN,minmax,1,0.8854344122657581,"Matern(length_scale=1, nu=2.5)"
gpc,ECFP4,HIV-1 IN,minmax,1,0.9497444633730836,DotProduct(sigma_0=1)
gpc,ECFP4,HIV-1 IN,minmax,1,0.8909710391822828,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,ECFP4,HIV-1 IN,minmax,2,0.879045996592845,RBF(length_scale=0.5)
gpc,ECFP4,HIV-1 IN,minmax,2,0.879045996592845,RBF(length_scale=1)
gpc,ECFP4,HIV-1 IN,minmax,2,0.879045996592845,RBF(length_scale=2)
gpc,ECFP4,HIV-1 IN,minmax,2,0.879045996592845,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,ECFP4,HIV-1 IN,minmax,2,0.8713798977853492,"Matern(length_scale=1, nu=0.5)"
gpc,ECFP4,HIV-1 IN,minmax,2,0.8752129471890971,"Matern(length_scale=1, nu=1.5)"
gpc,ECFP4,HIV-1 IN,minmax,2,0.8760647359454855,"Matern(length_scale=1, nu=2.5)"
gpc,ECFP4,HIV-1 IN,minmax,2,0.9522998296422488,DotProduct(sigma_0=1)
gpc,ECFP4,HIV-1 IN,minmax,2,0.879045996592845,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,ECFP4,HIV-1 IN,minmax,3,0.881175468483816,RBF(length_scale=0.5)
gpc,ECFP4,HIV-1 IN,minmax,3,0.881175468483816,RBF(length_scale=1)
gpc,ECFP4,HIV-1 IN,minmax,3,0.881175468483816,RBF(length_scale=2)
gpc,ECFP4,HIV-1 IN,minmax,3,0.881175468483816,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,ECFP4,HIV-1 IN,minmax,3,0.8705281090289608,"Matern(length_scale=1, nu=0.5)"
gpc,ECFP4,HIV-1 IN,minmax,3,0.8739352640545145,"Matern(length_scale=1, nu=1.5)"
gpc,ECFP4,HIV-1 IN,minmax,3,0.8756388415672913,"Matern(length_scale=1, nu=2.5)"
gpc,ECFP4,HIV-1 IN,minmax,3,0.9501703577512776,DotProduct(sigma_0=1)
gpc,ECFP4,HIV-1 IN,minmax,3,0.881175468483816,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,ECFP4,HIV-1 IN,minmax,4,0.8816013628620102,RBF(length_scale=0.5)
gpc,ECFP4,HIV-1 IN,minmax,4,0.8816013628620102,RBF(length_scale=1)
gpc,ECFP4,HIV-1 IN,minmax,4,0.8816013628620102,RBF(length_scale=2)
gpc,ECFP4,HIV-1 IN,minmax,4,0.8816013628620102,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,ECFP4,HIV-1 IN,minmax,4,0.8696763202725724,"Matern(length_scale=1, nu=0.5)"
gpc,ECFP4,HIV-1 IN,minmax,4,0.873083475298126,"Matern(length_scale=1, nu=1.5)"
gpc,ECFP4,HIV-1 IN,minmax,4,0.8760647359454855,"Matern(length_scale=1, nu=2.5)"
gpc,ECFP4,HIV-1 IN,minmax,4,0.9501703577512776,DotProduct(sigma_0=1)
gpc,ECFP4,HIV-1 IN,minmax,4,0.8816013628620102,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,MIX,HIV-1 IN,std,1,0.891396933560477,RBF(length_scale=0.5)
gpc,MIX,HIV-1 IN,std,1,0.9586882453151618,RBF(length_scale=1)
gpc,MIX,HIV-1 IN,std,1,0.9586882453151618,RBF(length_scale=2)
gpc,MIX,HIV-1 IN,std,1,0.891396933560477,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,MIX,HIV-1 IN,std,1,0.8922487223168655,"Matern(length_scale=1, nu=0.5)"
gpc,MIX,HIV-1 IN,std,1,0.8896933560477002,"Matern(length_scale=1, nu=1.5)"
gpc,MIX,HIV-1 IN,std,1,0.965076660988075,"Matern(length_scale=1, nu=2.5)"
gpc,MIX,HIV-1 IN,std,1,0.9442078364565588,DotProduct(sigma_0=1)
gpc,MIX,HIV-1 IN,std,1,0.9586882453151618,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,MIX,HIV-1 IN,std,2,0.9514480408858604,RBF(length_scale=0.5)
gpc,MIX,HIV-1 IN,std,2,0.9514480408858604,RBF(length_scale=1)
gpc,MIX,HIV-1 IN,std,2,0.9514480408858604,RBF(length_scale=2)
gpc,MIX,HIV-1 IN,std,2,0.8926746166950597,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,MIX,HIV-1 IN,std,2,0.8884156729131175,"Matern(length_scale=1, nu=0.5)"
gpc,MIX,HIV-1 IN,std,2,0.8901192504258943,"Matern(length_scale=1, nu=1.5)"
gpc,MIX,HIV-1 IN,std,2,0.8918228279386712,"Matern(length_scale=1, nu=2.5)"
gpc,MIX,HIV-1 IN,std,2,0.9429301533219762,DotProduct(sigma_0=1)
gpc,MIX,HIV-1 IN,std,2,0.9514480408858604,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,MIX,HIV-1 IN,std,3,0.8488074957410562,RBF(length_scale=0.5)
gpc,MIX,HIV-1 IN,std,3,0.9544293015332198,RBF(length_scale=1)
gpc,MIX,HIV-1 IN,std,3,0.8837308347529813,RBF(length_scale=2)
gpc,MIX,HIV-1 IN,std,3,0.8837308347529813,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,MIX,HIV-1 IN,std,3,0.8752129471890971,"Matern(length_scale=1, nu=0.5)"
gpc,MIX,HIV-1 IN,std,3,0.959114139693356,"Matern(length_scale=1, nu=1.5)"
gpc,MIX,HIV-1 IN,std,3,0.959114139693356,"Matern(length_scale=1, nu=2.5)"
gpc,MIX,HIV-1 IN,std,3,0.9522998296422488,DotProduct(sigma_0=1)
gpc,MIX,HIV-1 IN,std,3,0.9544293015332198,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,MIX,HIV-1 IN,std,4,0.8999148211243612,RBF(length_scale=0.5)
gpc,MIX,HIV-1 IN,std,4,0.8999148211243612,RBF(length_scale=1)
gpc,MIX,HIV-1 IN,std,4,0.8999148211243612,RBF(length_scale=2)
gpc,MIX,HIV-1 IN,std,4,0.8999148211243612,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,MIX,HIV-1 IN,std,4,0.8939522998296422,"Matern(length_scale=1, nu=0.5)"
gpc,MIX,HIV-1 IN,std,4,0.8952299829642248,"Matern(length_scale=1, nu=1.5)"
gpc,MIX,HIV-1 IN,std,4,0.8965076660988075,"Matern(length_scale=1, nu=2.5)"
gpc,MIX,HIV-1 IN,std,4,0.946763202725724,DotProduct(sigma_0=1)
gpc,MIX,HIV-1 IN,std,4,0.8999148211243612,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,MIX,HIV-1 IN,minmax,1,0.9625212947189096,RBF(length_scale=0.5)
gpc,MIX,HIV-1 IN,minmax,1,0.8803236797274276,RBF(length_scale=1)
gpc,MIX,HIV-1 IN,minmax,1,0.8803236797274276,RBF(length_scale=2)
gpc,MIX,HIV-1 IN,minmax,1,0.8803236797274276,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,MIX,HIV-1 IN,minmax,1,0.8713798977853492,"Matern(length_scale=1, nu=0.5)"
gpc,MIX,HIV-1 IN,minmax,1,0.8777683134582623,"Matern(length_scale=1, nu=1.5)"
gpc,MIX,HIV-1 IN,minmax,1,0.879045996592845,"Matern(length_scale=1, nu=2.5)"
gpc,MIX,HIV-1 IN,minmax,1,0.9442078364565588,DotProduct(sigma_0=1)
gpc,MIX,HIV-1 IN,minmax,1,0.8803236797274276,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,MIX,HIV-1 IN,minmax,2,0.9574105621805792,RBF(length_scale=0.5)
gpc,MIX,HIV-1 IN,minmax,2,0.8760647359454855,RBF(length_scale=1)
gpc,MIX,HIV-1 IN,minmax,2,0.8760647359454855,RBF(length_scale=2)
gpc,MIX,HIV-1 IN,minmax,2,0.8760647359454855,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,MIX,HIV-1 IN,minmax,2,0.8671209540034072,"Matern(length_scale=1, nu=0.5)"
gpc,MIX,HIV-1 IN,minmax,2,0.8683986371379898,"Matern(length_scale=1, nu=1.5)"
gpc,MIX,HIV-1 IN,minmax,2,0.8705281090289608,"Matern(length_scale=1, nu=2.5)"
gpc,MIX,HIV-1 IN,minmax,2,0.9480408858603068,DotProduct(sigma_0=1)
gpc,MIX,HIV-1 IN,minmax,2,0.8760647359454855,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,MIX,HIV-1 IN,minmax,3,0.8718057921635435,RBF(length_scale=0.5)
gpc,MIX,HIV-1 IN,minmax,3,0.8718057921635435,RBF(length_scale=1)
gpc,MIX,HIV-1 IN,minmax,3,0.8718057921635435,RBF(length_scale=2)
gpc,MIX,HIV-1 IN,minmax,3,0.8718057921635435,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,MIX,HIV-1 IN,minmax,3,0.8641396933560477,"Matern(length_scale=1, nu=0.5)"
gpc,MIX,HIV-1 IN,minmax,3,0.8675468483816013,"Matern(length_scale=1, nu=1.5)"
gpc,MIX,HIV-1 IN,minmax,3,0.8696763202725724,"Matern(length_scale=1, nu=2.5)"
