model,Descriptor,Enzyme,scaler,split,Accuracy,Category,Enzyme x Descriptor
mlp,ECFP4,HIV-1 RT,std,4,0.8990413421210306,B,HIV-1 RT x ECFP4
mlp,ECFP4,HIV-1 RT,minmax,1,0.932893948472139,A,HIV-1 RT x ECFP4
mlp,ECFP4,HIV-1 RT,minmax,2,0.9158178550029958,A,HIV-1 RT x ECFP4
mlp,ECFP4,HIV-1 RT,minmax,3,0.920311563810665,A,HIV-1 RT x ECFP4
mlp,ECFP4,HIV-1 RT,minmax,4,0.9286998202516475,A,HIV-1 RT x ECFP4
mlp,MIX,HIV-1 RT,std,1,0.9092270820850809,A,HIV-1 RT x MIX
mlp,MIX,HIV-1 RT,std,2,0.8867585380467345,B,HIV-1 RT x MIX
mlp,MIX,HIV-1 RT,std,3,0.877771120431396,B,HIV-1 RT x MIX
mlp,MIX,HIV-1 RT,std,4,0.8954463750748951,B,HIV-1 RT x MIX
mlp,MIX,HIV-1 RT,minmax,1,0.8933493109646495,B,HIV-1 RT x MIX
mlp,MIX,HIV-1 RT,minmax,2,0.8972438585979629,B,HIV-1 RT x MIX
mlp,MIX,HIV-1 RT,minmax,3,0.8984421809466746,B,HIV-1 RT x MIX
mlp,MIX,HIV-1 RT,minmax,4,0.9176153385260636,A,HIV-1 RT x MIX
