Model,F-Statistic,p-value
ABC,0.0,1.0
CNN,0.07461940680950616,0.7855302883442041
DTC,5.382477261484779e-07,0.9994148555892015
GNB,0.16855296313400459,0.681708455010311
GPC,0.013764419107609983,0.906641468080579
KNN,8.10464712205964,0.0044543158712721
MLP,0.19104818654011604,0.6633911225154446
QDA,0.8112896833866411,0.36799080217943037
RFC,1.2285917871701798e-05,0.9972042923380463
SVC,26.465687382039434,3.052845479442214e-07
