Descriptor,Precision,Recall,Accuracy,F1,AUC,MCC,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD,
PC,0.9662,0.9401,0.958,0.953,0.9565,0.9154,,0.0031,0.0047,0.0029,0.0033,0.003,0.0058,
ECFP4,0.9741,0.9405,0.9617,0.957,0.9599,0.9231,,0.0028,0.0101,0.0049,0.0057,0.0053,0.0096,
MIX,0.974,0.9388,0.961,0.9561,0.9591,0.9215,,0.0053,0.007,0.0037,0.0043,0.0039,0.0075,
