Descriptor,Precision,Recall,Accuracy,F1,AUC,MCC,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD,
PC,0.9844,0.9932,0.9791,0.9888,0.8958,0.8377,,0.0023,0.0014,0.0022,0.0012,0.015,0.0179,
ECFP4,0.9831,0.9943,0.9788,0.9886,0.8876,0.834,,0.0019,0.0018,0.0028,0.0015,0.0127,0.0221,
MIX,0.9872,0.9949,0.9833,0.991,0.915,0.8715,,0.0008,0.0015,0.0014,0.0008,0.0054,0.0105,
