Descriptor,Precision,Recall,Accuracy,F1,AUC,MCC,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD,
PC,0.8602,0.9441,0.9042,0.8997,0.9077,0.8127,,0.038,0.0163,0.0214,0.0194,0.0194,0.0377,
ECFP4,0.9392,0.9365,0.9438,0.9378,0.9432,0.8866,,0.0081,0.0106,0.0045,0.0051,0.0048,0.0091,
MIX,0.9525,0.9379,0.9507,0.9451,0.9496,0.9005,,0.004,0.0063,0.0036,0.004,0.0037,0.0072,
