Descriptor,Precision,Recall,Accuracy,F1,AUC,MCC,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD,
PC,0.9548,0.9707,0.9459,0.9627,0.9265,0.8647,,0.0034,0.0031,0.0044,0.003,0.0057,0.011,
ECFP4,0.9552,0.9749,0.949,0.9649,0.9288,0.8725,,0.0049,0.0059,0.003,0.0021,0.0052,0.0075,
MIX,0.9535,0.9731,0.9465,0.9632,0.9257,0.8662,,0.0058,0.0063,0.0029,0.002,0.006,0.0071,
