Model,Precision,Recall,Accuracy,F1,AUC,MCC
RFC,0.9459,0.9845,0.9483,0.9648,0.9201,0.8703
KNN,0.9272,0.9506,0.9102,0.9385,0.8788,0.7746
MLP,0.9383,0.936,0.9092,0.9367,0.8883,0.7773
CNN,0.9223,0.9521,0.9073,0.9368,0.8724,0.7659
DTC,0.8853,0.9475,0.8662,0.9128,0.8027,0.6244
GPC,0.8423,0.9659,0.8487,0.8978,0.7571,0.6133
SVC,0.8441,0.9674,0.8418,0.8993,0.7437,0.5757
ABC,0.7484,0.9805,0.7441,0.8472,0.5594,0.149
GNB,0.9142,0.692,0.7319,0.7807,0.763,0.4829
QDA,0.739,0.7995,0.7095,0.7525,0.6392,0.2672
