Model,Precision,Recall,Accuracy,F1,AUC,MCC
RFC,0.9822,0.9968,0.9803,0.9894,0.8825,0.8445
CNN,0.9728,0.9957,0.9702,0.9841,0.8193,0.753
MLP,0.9775,0.9903,0.9697,0.9838,0.8481,0.7525
DTC,0.9738,0.9893,0.9651,0.9814,0.8225,0.6997
KNN,0.9666,0.9955,0.9636,0.9807,0.7757,0.6791
SVC,0.9597,0.9958,0.957,0.9773,0.7281,0.5885
ABC,0.9395,0.9942,0.935,0.966,0.5858,0.2355
GPC,0.9368,0.9894,0.9321,0.9618,0.5938,0.2639
GNB,0.9767,0.8619,0.8527,0.9144,0.7986,0.4213
QDA,0.8611,0.7627,0.7394,0.7709,0.6022,0.151
