Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.7957,0.8101,0.5617,0.9191,0.3574,0.1309,0.0982
ECFP4,0.867,0.8815,0.7247,0.9599,0.2352,0.1296,0.0779
MIX,0.8628,0.8709,0.7259,0.9566,0.2307,0.1329,0.0758
