Descriptor,Enzyme,model,scaler,split,Accuracy,criterion,n_estimators
PC,IN,rfc,minmax,3,0.9620954003407156,log_loss,2000
PC,IN,rfc,minmax,4,0.954855195911414,gini,100
PC,IN,rfc,minmax,4,0.9552810902896082,gini,500
PC,IN,rfc,minmax,4,0.9561328790459966,gini,1000
PC,IN,rfc,minmax,4,0.9561328790459966,gini,1500
PC,IN,rfc,minmax,4,0.956984667802385,gini,2000
PC,IN,rfc,minmax,4,0.9544293015332198,entropy,100
PC,IN,rfc,minmax,4,0.9535775127768312,entropy,500
PC,IN,rfc,minmax,4,0.9561328790459966,entropy,1000
PC,IN,rfc,minmax,4,0.9565587734241908,entropy,1500
PC,IN,rfc,minmax,4,0.9552810902896082,entropy,2000
PC,IN,rfc,minmax,4,0.9535775127768312,log_loss,100
PC,IN,rfc,minmax,4,0.9561328790459966,log_loss,500
PC,IN,rfc,minmax,4,0.954855195911414,log_loss,1000
PC,IN,rfc,minmax,4,0.9544293015332198,log_loss,1500
PC,IN,rfc,minmax,4,0.9552810902896082,log_loss,2000
ECFP4,IN,rfc,std,1,0.9625212947189096,gini,100
ECFP4,IN,rfc,std,1,0.9599659284497444,gini,500
ECFP4,IN,rfc,std,1,0.9599659284497444,gini,1000
ECFP4,IN,rfc,std,1,0.9595400340715504,gini,1500
ECFP4,IN,rfc,std,1,0.9599659284497444,gini,2000
ECFP4,IN,rfc,std,1,0.9616695059625212,entropy,100
ECFP4,IN,rfc,std,1,0.9608177172061328,entropy,500
ECFP4,IN,rfc,std,1,0.9603918228279388,entropy,1000
ECFP4,IN,rfc,std,1,0.9616695059625212,entropy,1500
ECFP4,IN,rfc,std,1,0.9620954003407156,entropy,2000
ECFP4,IN,rfc,std,1,0.9608177172061328,log_loss,100
ECFP4,IN,rfc,std,1,0.9612436115843273,log_loss,500
ECFP4,IN,rfc,std,1,0.9608177172061328,log_loss,1000
ECFP4,IN,rfc,std,1,0.9616695059625212,log_loss,1500
ECFP4,IN,rfc,std,1,0.9616695059625212,log_loss,2000
ECFP4,IN,rfc,std,2,0.9637989778534924,gini,100
ECFP4,IN,rfc,std,2,0.962947189097104,gini,500
ECFP4,IN,rfc,std,2,0.9625212947189096,gini,1000
ECFP4,IN,rfc,std,2,0.9612436115843273,gini,1500
ECFP4,IN,rfc,std,2,0.9620954003407156,gini,2000
ECFP4,IN,rfc,std,2,0.9625212947189096,entropy,100
ECFP4,IN,rfc,std,2,0.9655025553662692,entropy,500
ECFP4,IN,rfc,std,2,0.9620954003407156,entropy,1000
ECFP4,IN,rfc,std,2,0.9625212947189096,entropy,1500
ECFP4,IN,rfc,std,2,0.962947189097104,entropy,2000
ECFP4,IN,rfc,std,2,0.965076660988075,log_loss,100
ECFP4,IN,rfc,std,2,0.9633730834752982,log_loss,500
ECFP4,IN,rfc,std,2,0.9616695059625212,log_loss,1000
ECFP4,IN,rfc,std,2,0.9616695059625212,log_loss,1500
ECFP4,IN,rfc,std,2,0.9633730834752982,log_loss,2000
ECFP4,IN,rfc,std,3,0.967206132879046,gini,100
ECFP4,IN,rfc,std,3,0.9689097103918228,gini,500
ECFP4,IN,rfc,std,3,0.9676320272572402,gini,1000
ECFP4,IN,rfc,std,3,0.9676320272572402,gini,1500
ECFP4,IN,rfc,std,3,0.9689097103918228,gini,2000
ECFP4,IN,rfc,std,3,0.9655025553662692,entropy,100
ECFP4,IN,rfc,std,3,0.9689097103918228,entropy,500
ECFP4,IN,rfc,std,3,0.9684838160136288,entropy,1000
ECFP4,IN,rfc,std,3,0.9680579216354344,entropy,1500
ECFP4,IN,rfc,std,3,0.9680579216354344,entropy,2000
ECFP4,IN,rfc,std,3,0.9697614991482112,log_loss,100
ECFP4,IN,rfc,std,3,0.967206132879046,log_loss,500
ECFP4,IN,rfc,std,3,0.9684838160136288,log_loss,1000
ECFP4,IN,rfc,std,3,0.9680579216354344,log_loss,1500
ECFP4,IN,rfc,std,3,0.9689097103918228,log_loss,2000
ECFP4,IN,rfc,std,4,0.9557069846678024,gini,100
ECFP4,IN,rfc,std,4,0.9544293015332198,gini,500
ECFP4,IN,rfc,std,4,0.9540034071550256,gini,1000
ECFP4,IN,rfc,std,4,0.9552810902896082,gini,1500
ECFP4,IN,rfc,std,4,0.954855195911414,gini,2000
ECFP4,IN,rfc,std,4,0.9557069846678024,entropy,100
ECFP4,IN,rfc,std,4,0.9544293015332198,entropy,500
ECFP4,IN,rfc,std,4,0.954855195911414,entropy,1000
ECFP4,IN,rfc,std,4,0.9544293015332198,entropy,1500
ECFP4,IN,rfc,std,4,0.9540034071550256,entropy,2000
ECFP4,IN,rfc,std,4,0.9544293015332198,log_loss,100
ECFP4,IN,rfc,std,4,0.9540034071550256,log_loss,500
ECFP4,IN,rfc,std,4,0.9557069846678024,log_loss,1000
ECFP4,IN,rfc,std,4,0.9544293015332198,log_loss,1500
ECFP4,IN,rfc,std,4,0.9544293015332198,log_loss,2000
ECFP4,IN,rfc,minmax,1,0.9620954003407156,gini,100
ECFP4,IN,rfc,minmax,1,0.9612436115843273,gini,500
ECFP4,IN,rfc,minmax,1,0.9608177172061328,gini,1000
ECFP4,IN,rfc,minmax,1,0.9612436115843273,gini,1500
ECFP4,IN,rfc,minmax,1,0.9608177172061328,gini,2000
ECFP4,IN,rfc,minmax,1,0.9603918228279388,entropy,100
ECFP4,IN,rfc,minmax,1,0.9603918228279388,entropy,500
ECFP4,IN,rfc,minmax,1,0.9603918228279388,entropy,1000
ECFP4,IN,rfc,minmax,1,0.9616695059625212,entropy,1500
ECFP4,IN,rfc,minmax,1,0.9616695059625212,entropy,2000
ECFP4,IN,rfc,minmax,1,0.9603918228279388,log_loss,100
ECFP4,IN,rfc,minmax,1,0.9599659284497444,log_loss,500
ECFP4,IN,rfc,minmax,1,0.9612436115843273,log_loss,1000
ECFP4,IN,rfc,minmax,1,0.9625212947189096,log_loss,1500
ECFP4,IN,rfc,minmax,1,0.9616695059625212,log_loss,2000
ECFP4,IN,rfc,minmax,2,0.9633730834752982,gini,100
ECFP4,IN,rfc,minmax,2,0.962947189097104,gini,500
ECFP4,IN,rfc,minmax,2,0.9620954003407156,gini,1000
ECFP4,IN,rfc,minmax,2,0.9633730834752982,gini,1500
ECFP4,IN,rfc,minmax,2,0.9612436115843273,gini,2000
ECFP4,IN,rfc,minmax,2,0.9625212947189096,entropy,100
ECFP4,IN,rfc,minmax,2,0.9637989778534924,entropy,500
ECFP4,IN,rfc,minmax,2,0.9646507666098808,entropy,1000
ECFP4,IN,rfc,minmax,2,0.9620954003407156,entropy,1500
ECFP4,IN,rfc,minmax,2,0.962947189097104,entropy,2000
ECFP4,IN,rfc,minmax,2,0.9659284497444632,log_loss,100
ECFP4,IN,rfc,minmax,2,0.962947189097104,log_loss,500
ECFP4,IN,rfc,minmax,2,0.962947189097104,log_loss,1000
ECFP4,IN,rfc,minmax,2,0.9625212947189096,log_loss,1500
ECFP4,IN,rfc,minmax,2,0.962947189097104,log_loss,2000
ECFP4,IN,rfc,minmax,3,0.9667802385008518,gini,100
ECFP4,IN,rfc,minmax,3,0.9689097103918228,gini,500
ECFP4,IN,rfc,minmax,3,0.967206132879046,gini,1000
ECFP4,IN,rfc,minmax,3,0.9676320272572402,gini,1500
ECFP4,IN,rfc,minmax,3,0.9684838160136288,gini,2000
ECFP4,IN,rfc,minmax,3,0.9676320272572402,entropy,100
ECFP4,IN,rfc,minmax,3,0.969335604770017,entropy,500
ECFP4,IN,rfc,minmax,3,0.9680579216354344,entropy,1000
ECFP4,IN,rfc,minmax,3,0.9684838160136288,entropy,1500
ECFP4,IN,rfc,minmax,3,0.9667802385008518,entropy,2000
ECFP4,IN,rfc,minmax,3,0.9689097103918228,log_loss,100
ECFP4,IN,rfc,minmax,3,0.9689097103918228,log_loss,500
ECFP4,IN,rfc,minmax,3,0.9676320272572402,log_loss,1000
ECFP4,IN,rfc,minmax,3,0.9684838160136288,log_loss,1500
ECFP4,IN,rfc,minmax,3,0.9684838160136288,log_loss,2000
ECFP4,IN,rfc,minmax,4,0.9544293015332198,gini,100
ECFP4,IN,rfc,minmax,4,0.9544293015332198,gini,500
ECFP4,IN,rfc,minmax,4,0.954855195911414,gini,1000
ECFP4,IN,rfc,minmax,4,0.9552810902896082,gini,1500
ECFP4,IN,rfc,minmax,4,0.9552810902896082,gini,2000
ECFP4,IN,rfc,minmax,4,0.9535775127768312,entropy,100
ECFP4,IN,rfc,minmax,4,0.954855195911414,entropy,500
ECFP4,IN,rfc,minmax,4,0.9540034071550256,entropy,1000
ECFP4,IN,rfc,minmax,4,0.9544293015332198,entropy,1500
ECFP4,IN,rfc,minmax,4,0.9552810902896082,entropy,2000
ECFP4,IN,rfc,minmax,4,0.954855195911414,log_loss,100
ECFP4,IN,rfc,minmax,4,0.9574105621805792,log_loss,500
ECFP4,IN,rfc,minmax,4,0.9552810902896082,log_loss,1000
ECFP4,IN,rfc,minmax,4,0.9552810902896082,log_loss,1500
ECFP4,IN,rfc,minmax,4,0.954855195911414,log_loss,2000
MIX,IN,rfc,std,1,0.9612436115843273,gini,100
MIX,IN,rfc,std,1,0.9620954003407156,gini,500
MIX,IN,rfc,std,1,0.9625212947189096,gini,1000
MIX,IN,rfc,std,1,0.9620954003407156,gini,1500
MIX,IN,rfc,std,1,0.9620954003407156,gini,2000
MIX,IN,rfc,std,1,0.9620954003407156,entropy,100
MIX,IN,rfc,std,1,0.9633730834752982,entropy,500
MIX,IN,rfc,std,1,0.9603918228279388,entropy,1000
MIX,IN,rfc,std,1,0.9616695059625212,entropy,1500
MIX,IN,rfc,std,1,0.9612436115843273,entropy,2000
MIX,IN,rfc,std,1,0.9608177172061328,log_loss,100
MIX,IN,rfc,std,1,0.9646507666098808,log_loss,500
MIX,IN,rfc,std,1,0.9612436115843273,log_loss,1000
MIX,IN,rfc,std,1,0.9608177172061328,log_loss,1500
MIX,IN,rfc,std,1,0.9633730834752982,log_loss,2000
MIX,IN,rfc,std,2,0.9557069846678024,gini,100
MIX,IN,rfc,std,2,0.9552810902896082,gini,500
MIX,IN,rfc,std,2,0.9565587734241908,gini,1000
