Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.958,0.9574,0.9536,0.9647,0.0111,0.004,0.0029
ECFP4,0.9617,0.9619,0.9536,0.9698,0.0162,0.0066,0.0049
MIX,0.961,0.9608,0.9549,0.9676,0.0127,0.006,0.0037
