Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.9796,0.9802,0.9763,0.9816,0.0053,0.0021,0.0019
ECFP4,0.9814,0.9816,0.9802,0.9826,0.0024,0.0004,0.0008
MIX,0.9852,0.9848,0.9826,0.9879,0.0053,0.004,0.0022
