Descriptor,Precision,Recall,Accuracy,F1,AUC,MCC,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD,
PC,0.9442,0.9511,0.9524,0.9476,0.9522,0.904,,0.0108,0.0054,0.0045,0.0047,0.0041,0.0089,
ECFP4,0.9502,0.9531,0.9561,0.9516,0.9559,0.9115,,0.0072,0.0066,0.0044,0.0049,0.0044,0.0089,
MIX,0.961,0.9467,0.9585,0.9538,0.9575,0.9162,,0.0056,0.0069,0.0044,0.0049,0.0045,0.0089,
