Descriptor,Precision,Recall,Accuracy,F1,AUC,MCC,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD,
PC,0.811,0.9382,0.7957,0.8681,0.6844,0.458,,0.0689,0.0877,0.0982,0.067,0.1289,0.2574,
ECFP4,0.8623,0.9831,0.867,0.9163,0.7763,0.6398,,0.0791,0.0235,0.0779,0.0446,0.1424,0.2352,
MIX,0.859,0.981,0.8628,0.9136,0.7704,0.6294,,0.0776,0.0253,0.0758,0.0434,0.1394,0.2283,
