Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.9791,0.9785,0.9763,0.9826,0.0063,0.0014,0.0022
ECFP4,0.9788,0.9792,0.9744,0.9821,0.0077,0.004,0.0028
MIX,0.9833,0.9836,0.9807,0.985,0.0043,0.0013,0.0014
