Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.9524,0.9532,0.9425,0.9574,0.0149,0.0032,0.0045
ECFP4,0.9561,0.9559,0.9502,0.9634,0.0132,0.006,0.0044
MIX,0.9585,0.9574,0.9532,0.9664,0.0132,0.0052,0.0044
