model,Descriptor,Enzyme,scaler,split,Accuracy,var_smoothing,Category,Enzyme x Descriptor
gnb,ECFP4,HIV-1 IN,minmax,2,0.8637137989778535,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,2,0.8624361158432708,0.001,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,3,0.8517887563884157,1e-12,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,3,0.8615843270868825,1e-09,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,3,0.8658432708688245,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,3,0.8598807495741057,0.001,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,4,0.856473594548552,1e-12,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,4,0.856473594548552,1e-09,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,4,0.860732538330494,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,4,0.8598807495741057,0.001,B,HIV-1 IN x ECFP4
gnb,MIX,HIV-1 IN,std,1,0.8496592844974447,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,1,0.8377342419080068,1e-09,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,1,0.8347529812606473,1e-06,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,1,0.8245315161839863,0.001,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,2,0.8466780238500852,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,2,0.8419931856899489,1e-09,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,2,0.8390119250425895,1e-06,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,2,0.830068143100511,0.001,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,3,0.8458262350936968,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,3,0.8390119250425895,1e-09,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,3,0.8283645655877342,1e-06,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,3,0.8147359454855196,0.001,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,4,0.8449744463373083,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,4,0.8424190800681431,1e-09,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,4,0.83603066439523,1e-06,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,4,0.8262350936967632,0.001,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,1,0.8436967632027257,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,1,0.83603066439523,1e-09,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,1,0.8287904599659285,1e-06,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,1,0.8266609880749574,0.001,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,2,0.846252129471891,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,2,0.8398637137989778,1e-09,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,2,0.8334752981260647,1e-06,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,2,0.833901192504259,0.001,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,3,0.8424190800681431,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,3,0.8347529812606473,1e-09,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,3,0.8194207836456558,1e-06,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,3,0.8121805792163543,0.001,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,4,0.8445485519591142,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,4,0.8377342419080068,1e-09,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,4,0.82793867120954,1e-06,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,minmax,4,0.8249574105621805,0.001,B,HIV-1 IN x MIX
gnb,PC,HIV-1 PR,std,1,0.820202996616723,1e-12,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,1,0.8395360077332045,1e-09,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,1,0.8496858385693572,1e-06,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,1,0.8637022716288062,0.001,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,2,0.9057515708071532,1e-12,A,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,2,0.8970517158047366,1e-09,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,2,0.8902851619139681,1e-06,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,2,0.8830352827452875,0.001,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,3,0.8661188980183664,1e-12,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,3,0.8661188980183664,1e-09,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,3,0.8661188980183664,1e-06,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,3,0.8656355727404543,0.001,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,4,0.9096181730304496,1e-12,A,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,4,0.903818269695505,1e-09,A,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,4,0.8980183663605606,1e-06,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,std,4,0.8917351377477042,0.001,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,1,0.8284195263412276,1e-12,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,1,0.847269212179797,1e-09,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,1,0.8579023682938618,1e-06,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,1,0.8670855485741904,0.001,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,2,0.902368293861769,1e-12,A,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,2,0.8941517641372644,1e-09,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,2,0.8864185596906718,1e-06,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,2,0.8811019816336394,0.001,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,3,0.8637022716288062,1e-12,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,3,0.8637022716288062,1e-09,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,3,0.8637022716288062,1e-06,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,3,0.8637022716288062,0.001,B,HIV-1 PR x PC
