model,Descriptor,Enzyme,scaler,split,Accuracy,var_smoothing,Category,Enzyme x Descriptor
gnb,MIX,HIV-1 RT,std,2,0.7693229478729778,1e-09,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,2,0.774715398442181,1e-06,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,2,0.7831036548831636,0.001,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,3,0.7585380467345716,1e-12,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,3,0.7672258837627322,1e-09,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,3,0.7765128819652487,1e-06,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,3,0.7857998801677651,0.001,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,4,0.7810065907729179,1e-12,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,4,0.7810065907729179,1e-09,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,4,0.7810065907729179,1e-06,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,4,0.78070701018574,0.001,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,1,0.7591372079089275,1e-12,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,1,0.7654284002396645,1e-09,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,1,0.7768124625524266,1e-06,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,1,0.7840023966446974,0.001,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,2,0.7690233672857999,1e-12,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,2,0.774415817855003,1e-09,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,2,0.7822049131216298,1e-06,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,2,0.7911923307369683,0.001,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,3,0.7666267225883763,1e-12,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,3,0.7762133013780707,1e-09,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,3,0.7849011384062313,1e-06,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,3,0.7908927501497903,0.001,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,4,0.7810065907729179,1e-12,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,4,0.7810065907729179,1e-09,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,4,0.7810065907729179,1e-06,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,minmax,4,0.78070701018574,0.001,C,HIV-1 RT x MIX
