model,Descriptor,Enzyme,scaler,split,Accuracy,Category,Enzyme x Descriptor
cnn,ECFP4,HIV-1 RT,std,4,0.9137207908927502,A,HIV-1 RT x ECFP4
cnn,ECFP4,HIV-1 RT,minmax,1,0.9167165967645295,A,HIV-1 RT x ECFP4
cnn,ECFP4,HIV-1 RT,minmax,2,0.927201917315758,A,HIV-1 RT x ECFP4
cnn,ECFP4,HIV-1 RT,minmax,3,0.9310964649490712,A,HIV-1 RT x ECFP4
cnn,ECFP4,HIV-1 RT,minmax,4,0.9125224685440384,A,HIV-1 RT x ECFP4
cnn,MIX,HIV-1 RT,std,1,0.914020371479928,A,HIV-1 RT x MIX
cnn,MIX,HIV-1 RT,std,2,0.9188136608747752,A,HIV-1 RT x MIX
cnn,MIX,HIV-1 RT,std,3,0.926303175554224,A,HIV-1 RT x MIX
cnn,MIX,HIV-1 RT,std,4,0.9095266626722588,A,HIV-1 RT x MIX
cnn,MIX,HIV-1 RT,minmax,1,0.9245056920311564,A,HIV-1 RT x MIX
cnn,MIX,HIV-1 RT,minmax,2,0.9197124026363092,A,HIV-1 RT x MIX
cnn,MIX,HIV-1 RT,minmax,3,0.9325943678849612,A,HIV-1 RT x MIX
cnn,MIX,HIV-1 RT,minmax,4,0.9068304373876572,A,HIV-1 RT x MIX
