Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.9816,0.9821,0.9773,0.9845,0.0072,0.0029,0.0021
ECFP4,0.979,0.9792,0.9739,0.9816,0.0077,0.0019,0.0015
MIX,0.9805,0.9797,0.9778,0.9841,0.0063,0.0034,0.002
