model,Descriptor,Enzyme,scaler,split,Accuracy,estimator,learning_rate,n_estimators,Category,Enzyme x Descriptor
abc,PC,HIV-1 IN,std,3,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.0001,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.0001,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.0001,70,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.0001,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.01,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.01,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.7338160136286201,DecisionTreeClassifier(max_depth=1),0.01,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.7538330494037478,DecisionTreeClassifier(max_depth=1),0.01,70,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.7559625212947189,DecisionTreeClassifier(max_depth=1),0.01,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.7563884156729132,DecisionTreeClassifier(max_depth=1),0.1,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.7551107325383305,DecisionTreeClassifier(max_depth=1),0.1,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.7793867120954003,DecisionTreeClassifier(max_depth=1),0.1,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.7844974446337308,DecisionTreeClassifier(max_depth=1),0.1,70,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.7887563884156729,DecisionTreeClassifier(max_depth=1),0.1,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.7649063032367973,DecisionTreeClassifier(max_depth=1),1.0,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.7955706984667802,DecisionTreeClassifier(max_depth=1),1.0,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.8245315161839863,DecisionTreeClassifier(max_depth=1),1.0,50,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.8364565587734242,DecisionTreeClassifier(max_depth=1),1.0,70,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,3,0.8458262350936968,DecisionTreeClassifier(max_depth=1),1.0,100,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7074105621805792,DecisionTreeClassifier(max_depth=1),0.0001,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7074105621805792,DecisionTreeClassifier(max_depth=1),0.0001,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7074105621805792,DecisionTreeClassifier(max_depth=1),0.0001,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7074105621805792,DecisionTreeClassifier(max_depth=1),0.0001,70,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7074105621805792,DecisionTreeClassifier(max_depth=1),0.0001,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7074105621805792,DecisionTreeClassifier(max_depth=1),0.01,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7074105621805792,DecisionTreeClassifier(max_depth=1),0.01,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7074105621805792,DecisionTreeClassifier(max_depth=1),0.01,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7546848381601363,DecisionTreeClassifier(max_depth=1),0.01,70,C,HIV-1 IN x PC
