Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.9042,0.9086,0.8582,0.9255,0.0673,0.0196,0.0214
ECFP4,0.9438,0.9444,0.9378,0.951,0.0132,0.0057,0.0045
MIX,0.9507,0.9504,0.9463,0.9583,0.012,0.0031,0.0036
