Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.9262,0.9271,0.9176,0.9314,0.0138,0.0058,0.0048
ECFP4,0.9333,0.9342,0.9233,0.9407,0.0174,0.0014,0.0049
MIX,0.9283,0.9271,0.9242,0.9377,0.0135,0.0021,0.0042
