Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.7132,0.7624,0.5741,0.8786,0.3045,0.2258,0.1083
ECFP4,0.8767,0.9189,0.5865,0.9676,0.3811,0.1135,0.0973
MIX,0.8672,0.9082,0.5873,0.9651,0.3778,0.1196,0.0987
