model,Descriptor,Enzyme,scaler,split,Accuracy,criterion,n_estimators,Category,Enzyme x Descriptor
rfc,PC,HIV-1 IN,minmax,3,0.9625212947189096,gini,1500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,3,0.9616695059625212,gini,2000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,3,0.9608177172061328,entropy,100,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,3,0.9608177172061328,entropy,500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,3,0.9625212947189096,entropy,1000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,3,0.9625212947189096,entropy,1500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,3,0.9616695059625212,entropy,2000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,4,0.9557069846678024,gini,100,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,4,0.9565587734241908,gini,500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,4,0.9565587734241908,gini,1000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,4,0.9561328790459966,gini,1500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,4,0.9557069846678024,gini,2000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,4,0.9544293015332198,entropy,100,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,4,0.954855195911414,entropy,500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,4,0.9565587734241908,entropy,1000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,4,0.9557069846678024,entropy,1500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,minmax,4,0.954855195911414,entropy,2000,A,HIV-1 IN x PC
rfc,ECFP4,HIV-1 IN,std,1,0.9612436115843273,gini,100,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,1,0.9616695059625212,gini,500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,1,0.9612436115843273,gini,1000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,1,0.9608177172061328,gini,1500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,1,0.9608177172061328,gini,2000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,1,0.9599659284497444,entropy,100,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,1,0.9599659284497444,entropy,500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,1,0.9608177172061328,entropy,1000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,1,0.9612436115843273,entropy,1500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,1,0.9616695059625212,entropy,2000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,2,0.9603918228279388,gini,100,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,2,0.959114139693356,gini,500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,2,0.9603918228279388,gini,1000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,std,2,0.9612436115843273,gini,1500,A,HIV-1 IN x ECFP4
