Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.9506,0.9584,0.8739,0.9787,0.1048,0.0268,0.0236
ECFP4,0.9594,0.9647,0.9275,0.9836,0.0561,0.0279,0.0173
MIX,0.9608,0.9664,0.9275,0.9855,0.058,0.03,0.0184
