Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
PC,0.9497,0.9488,0.9428,0.9566,0.0138,0.0053,0.0035
ECFP4,0.9486,0.9486,0.9449,0.9533,0.0084,0.0015,0.0013
MIX,0.9464,0.947,0.9422,0.9494,0.0072,0.0024,0.0019
