Title,pIC50,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
CHEMBL1669241,1,4.0336,112.2193,177.8076188,86.99,427.428,427.1431156,7,1,8,1,7,0,8,31,53,0,0,3,3,0,0,1,0,0,2,0,0,0.217391304,17.34664883,9.495151313,6.606638036,4.6713298,3.276152982,9.495151313,6.606638036,4.6713298,3.276152982,-3.81,21.88829909,9.336256669,4.525958013,9.473725908,42.25265432,16.07615654,5.817220841,22.84517737,54.43023096,0,10.90292493,0,4.390415048,11.49902367,0,33.29660567,0,4.567099648,0,13.46849361,20.82647705,71.37435479,0,11.49902367,22.65547517,23.8842159,4.794537184,9.184952232,0,0,12.13273414,36.75265697,18.81762008,37.29285347,5.817220841,17.28226861,5.759164872,0,5.969305288,23,1,0,0,0,0,0,0,1,6,0,31,14,3,0,8,8,0,8,13,7,1,1,0,0,7,6,3,0,7,8,0,0,0,1,2,0,0,0,0,2,1
CHEMBL2297144,1,1.3489,103.6474,164.9502011,189.66,444.439,444.0184887,10,6,6,6,10,0,12,29,45,0,0,2,2,0,0,0,0,0,2,0,0,0.058823529,16.09167341,11.0532893,9.92991076,7.290420183,5.267804264,7.622446384,5.79132907,3.560647206,2.099677057,-3.38,21.91488118,7.929461292,5.328970803,0,52.55964393,19.67450627,0,11.12690298,35.08157246,0,12.15204021,0,0,34.497071,0,47.47475834,0,0,0,0,5.084885591,46.20847544,0,34.497071,31.82654649,30.63916437,0,16.83559397,0,0,0,36.41750849,21.94300716,0,0,47.7574392,11.49902367,0,0,17,0,0,0,0,2,0,0,0,10,0,29,12,6,0,6,6,0,6,20,10,6,6,0,0,10,5,0,2,4,8,0,0,0,0,2,0,0,0,0,0,0
CHEMBL292992,1,-0.46891,162.2216,254.7445688,221.9,608.7,608.307081,14,9,4,7,9,1,14,44,84,5,2,5,1,2,4,0,1,1,1,1,3,0.5,25.29403315,14.53923765,12.36365243,9.445705164,7.268937583,14.53923765,12.36365243,9.445705164,7.268937583,-4.27,31.16410108,11.33918333,5.01661756,16.78412356,112.3969917,19.98466236,30.08673894,30.0349133,40.09687987,0,5.759164872,0,0,0,0,29.70319374,5.409283606,20.0165178,34.21345783,31.91118766,46.94306078,51.79482961,0,0,35.15194363,37.00361547,29.59271462,0,4.992404733,0,18.19910121,51.40844902,43.23348769,24.22948888,17.09143427,17.52604446,5.959554569,5.907179729,0,30,0,0,0,0,0,0,6,2,6,0,44,16,5,0,22,5,0,4,20,14,9,7,0,0,13,3,4,0,8,15,1,0,0,0,5,0,0,0,0,6,3
CHEMBL312608,1,2.3021,88.0919,140.1695355,139.98,340.291,340.0695361,8,5,3,5,6,1,8,25,37,0,0,3,3,0,0,1,0,0,2,0,0,0,12.59401644,7.059290154,5.192711242,3.531764727,2.269042543,7.059290154,5.192711242,3.531764727,2.269042543,-3.81,16.06209156,6.004097481,2.999865355,5.316788604,37.28657312,0,0,20.84645385,42.46456948,0,10.90292493,0,5.687386275,17.2485355,0,30.01518395,0,4.983978521,0,0,5.316788604,53.72194897,0,17.2485355,28.46679622,25.74289818,4.794537184,9.778515705,0,0,12.13273414,24.26546827,17.13997756,0,16.7740802,17.2485355,0,5.907179729,5.969305288,17,0,0,0,0,0,0,1,1,6,0,25,8,2,0,9,8,0,3,14,8,5,5,0,0,6,1,2,0,8,8,0,0,0,0,3,0,0,0,0,2,1
CHEMBL3397844,1,1.0744,146.0081,230.6186755,157.46,551.6,551.2379984,12,4,9,4,10,2,12,40,73,0,0,4,3,1,1,1,1,1,2,0,0,0.357142857,22.46179446,12.91799599,9.542831364,6.881798505,4.557393455,12.91799599,9.542831364,6.881798505,4.557393455,-4.58,28.42860621,12.5167251,6.342392797,15.61291845,92.86317525,13.46849361,0,38.65513147,47.25910666,0,0,0,0,22.99804733,0,29.64551951,0,24.66768623,7.047671983,12.84164325,46.37833598,75.46360903,0,22.99804733,11.81435946,30.27314347,23.85062093,4.983978521,0,0,30.33183534,30.66176366,51.75572713,7.109797541,5.824404498,22.94246349,5.749511833,17.37362635,0,28,0,0,0,0,0,0,1,4,7,0,40,16,3,0,15,9,0,9,19,12,4,4,0,0,8,6,2,0,12,12,0,0,0,0,4,0,0,0,0,0,0
CHEMBL4530287,1,-0.7139,70.5318,111.9902404,130.21,276.252,276.0858549,8,5,3,4,6,1,8,20,32,0,0,2,2,0,0,1,0,0,1,0,0,0.083333333,10.29038046,5.66605155,4.004059758,2.632501067,1.630013723,5.66605155,4.004059758,2.632501067,1.630013723,-3.03,13.40279949,5.306456612,2.531765741,22.29946637,20.82881892,6.544756406,0,15.92144017,39.92090971,0,0,0,5.817862778,0,0,10.00179021,0,15.03117477,0,6.544756406,5.733667477,62.29682299,0,0,11.72504251,16.25770911,14.57305289,4.794537184,0,0,35.06224298,5.563451492,6.544756406,0,11.38131427,0,0,5.907179729,11.24901029,12,0,0,0,0,0,0,2,2,4,0,20,6,3,0,6,6,0,3,12,8,5,4,0,0,5,2,1,0,6,6,0,0,0,0,2,0,0,0,0,0,0
CHEMBL2396844,1,-10.69786,943.5965,1502.279024,1486.04,3662.378,3660.04501,91,60,127,51,48,35,92,258,532,37,0,4,4,0,0,2,0,0,2,0,0,0.65060241,152.0175771,88.18412193,66.82282157,43.32211043,26.74012787,86.79027508,65.83722301,42.67815988,26.26872335,-24.59,225.5783387,118.2580162,84.45018774,227.0570312,526.7871855,207.8756995,64.07972163,387.7299221,85.71199798,0,0,0,0,0,11.76188495,207.72505,10.81856721,195.389938,104.8641617,584.3616072,51.27716123,108.226757,0,0,248.3402005,262.5576252,193.0109802,9.967957042,11.76188495,0,230.2366916,240.1825838,94.78238533,56.71163503,175.213384,11.91910914,206.7512905,0,17.90791586,166,0,0,0,0,1,0,44,4,43,0,258,199,40,0,11,11,0,127,134,91,60,51,0,0,79,76,81,0,18,4,0,0,0,2,2,0,0,0,0,0,0
CHEMBL3087631,1,2.3016,81.2348,131.2169565,76.37,315.3,315.0906861,5,1,7,1,4,0,6,23,37,0,0,2,2,0,0,1,0,0,1,0,0,0.117647059,12.10750252,6.821047704,4.895627183,3.11989946,2.025727265,6.821047704,4.895627183,3.11989946,2.025727265,-3.02,16.35222794,7.305985747,4.739416005,0,27.20942222,20.92836796,5.817220841,17.67820111,48.67106609,0,6.076020107,0,4.390415048,0,0,23.88055399,0,4.567099648,0,12.96557803,0,65.74566642,0,0,23.61181529,9.673627043,9.589074368,9.184952232,0,0,12.13273414,41.98095998,18.43552797,6.420821623,5.817220841,5.783244946,5.783244946,0,5.969305288,17,1,0,0,0,0,0,0,1,4,0,23,9,4,0,6,5,0,7,9,5,1,1,0,0,5,4,3,0,7,4,0,0,0,1,1,0,0,0,0,0,0
CHEMBL4435433,1,1.5906,98.6272,158.010498,127.1,384.344,384.0957509,9,3,4,3,7,2,9,28,44,0,0,3,3,0,0,1,0,0,2,0,0,0.105263158,14.93815522,8.028373472,5.617484347,3.926323598,2.508973028,8.028373472,5.617484347,3.926323598,2.508973028,-4.01,18.77135536,7.702839395,3.584350505,25.95089502,31.14048194,0,0,20.71597735,51.6762576,0,10.96924436,0,0,17.2485355,0,28.58647861,0,10.85158279,0,0,14.21959508,64.01159597,0,17.2485355,22.78360381,18.99740424,20.44065716,4.794537184,0,0,12.13273414,30.33183534,5.386224214,19.78304657,17.06247516,11.33253197,0,11.81435946,5.625586319,19,0,0,0,0,0,0,2,0,6,1,28,10,3,0,9,8,0,4,16,9,3,3,0,0,6,4,2,0,8,8,0,0,0,0,3,0,0,0,0,2,1
CHEMBL5197351,1,5.0199,132.5762,203.5413719,87.66,491.053,490.1693062,6,3,10,3,5,1,8,33,64,3,0,3,2,0,1,1,0,0,1,0,1,0.44,20.70987684,12.54878136,9.459533641,6.994973411,5.017670083,11.22800785,8.2723002,5.959890639,4.105309515,-2.19,25.43332785,11.79038289,6.665942988,10.63357721,41.27462685,20.87069373,0,45.59712796,46.67471845,5.022633314,11.12690298,0,0,0,22.93772577,19.43246472,0,10.63357721,0,70.87004731,0,57.26080326,0,11.12690298,34.81421079,20.47696756,4.794537184,4.794537184,11.33678588,0,37.58114843,64.92169913,30.10607228,18.2497736,0,0,5.907179729,0,5.969305288,25,0,1,0,0,1,0,2,0,4,0,33,16,2,0,11,6,0,10,10,6,3,3,0,0,7,6,3,0,9,8,0,0,0,1,2,0,0,0,0,0,0
CHEMBL510677,1,2.9762,83.7428,131.0107094,84.93,304.309,304.0960256,6,1,3,1,6,0,6,23,35,0,0,4,4,0,0,3,0,0,1,0,0,0.058823529,12.04757547,7.106544217,5.070746665,3.498329655,2.384134414,7.106544217,5.070746665,3.498329655,2.384134414,-3.28,13.38757588,5.49043418,2.503605789,0,25.21512621,6.420821623,0,11.45417541,59.38135156,0,22.42125742,0,0,5.749511833,0,9.629622332,0,20.10859882,0,6.420821623,0,66.31243204,0,17.26784433,10.90292493,9.629622332,4.983978521,4.983978521,4.983978521,0,35.4884986,17.69618563,17.77991136,6.420821623,5.516700718,11.44343983,11.71512842,0,0,17,0,0,0,0,0,0,0,4,1,1,23,4,0,0,11,11,0,3,8,6,1,1,0,0,1,1,0,0,14,7,0,0,0,1,3,0,0,0,0,2,1
CHEMBL574570,1,3.5753,77.2043,123.9633835,55.12,304.708,304.0414835,4,1,3,1,3,0,6,21,31,0,0,3,3,0,0,2,0,0,1,0,0,0.066666667,11.51030563,6.549103228,4.997292732,3.540661447,2.390807509,6.171138755,4.590092605,3.2487536,2.196698429,-2.4,13.57700066,5.179477979,2.475,0,20.62691085,6.544756406,5.817220841,16.05191667,42.72552249,5.022633314,10.90292493,0,4.390415048,0,11.60093989,14.29147963,0,9.551078169,0,6.544756406,0,64.82275613,0,0,28.47317011,9.673627043,0,14.16893075,0,0,23.73367403,18.19910121,17.14651928,23.28093401,11.51114884,0,0,0,5.969305288,15,1,1,0,0,0,0,0,2,2,0,21,6,1,0,8,8,0,3,6,4,1,1,0,0,4,1,1,0,8,7,0,0,0,1,2,0,0,0,0,2,1
CHEMBL194735,1,3.8956,95.7406,147.9391792,79.53,355.777,355.0611356,5,2,5,2,4,0,6,25,39,0,0,3,3,0,0,1,0,0,2,0,0,0.052631579,13.77264026,7.838738318,5.953162632,4.028528698,2.820177389,7.460773845,5.516726852,3.793431595,2.648074365,-3.05,16.79544611,6.826144339,3.563128004,0,26.53270467,16.13383077,0,11.12690298,60.80380023,5.022633314,16.6620898,0,0,0,11.60093989,19.80212916,0,4.567099648,0,6.544756406,0,76.95333652,0,0,40.01557993,14.78015444,4.794537184,4.794537184,0,0,41.93277523,23.7625527,40.30662982,0,5.759164872,0,0,5.783244946,5.969305288,19,0,1,0,0,0,0,0,1,4,0,25,8,3,0,8,8,0,5,9,5,2,2,0,0,5,2,3,0,9,6,0,0,0,1,2,0,0,0,0,2,1
