Model,Phase,Enzyme,PRC,REC,ACC,F1,AUC,MCC
RFC,Test,PR,0.9177,0.9486,0.8748,0.9329,0.4989,-0.0022
SVC,Test,PR,0.9162,0.9643,0.8863,0.9395,0.4891,-0.0335
ABC,Test,RT,0.7436,0.8974,0.6917,0.8092,0.481,-0.0433
CNN,Test,RT,0.7423,0.868,0.6742,0.7993,0.4757,-0.0622
DTC,Test,RT,0.7327,0.699,0.5821,0.712,0.4623,-0.0714
GNB,Test,RT,0.7066,0.6385,0.5416,0.6478,0.4424,-0.1099
GPC,Test,RT,0.7319,0.7979,0.6279,0.7633,0.4538,-0.1039
KNN,Test,RT,0.7343,0.7416,0.6035,0.7378,0.462,-0.0767
MLP,Test,RT,0.7355,0.8193,0.6422,0.7743,0.4608,-0.0953
QDA,Test,RT,0.7357,0.8222,0.647,0.7704,0.4676,-0.0617
RFC,Test,RT,0.7225,0.7209,0.5814,0.7217,0.4385,-0.1226
SVC,Test,RT,0.7424,0.797,0.6395,0.7652,0.4781,-0.0495
