Model,Phase,Enzyme,PRC,REC,ACC,F1,AUC,MCC
RFC,Test,IN,0.4711,0.4018,0.5164,0.4335,0.5082,0.0165
SVC,Test,IN,0.4679,0.3407,0.5088,0.384,0.4969,-0.0035
ABC,Test,PR,0.9176,0.9906,0.9097,0.9526,0.4982,-0.0052
CNN,Test,PR,0.9158,0.9451,0.8699,0.9302,0.4872,-0.0318
DTC,Test,PR,0.9165,0.9419,0.8679,0.9289,0.4914,-0.0203
GNB,Test,PR,0.9209,0.8993,0.8364,0.9075,0.5167,0.025
GPC,Test,PR,0.9208,0.9599,0.8864,0.9379,0.5124,0.0099
KNN,Test,PR,0.9165,0.9481,0.873,0.9319,0.491,-0.0252
MLP,Test,PR,0.9172,0.9247,0.8542,0.9209,0.4954,-0.0113
QDA,Test,PR,0.9051,0.6304,0.6148,0.6535,0.5358,0.0458
RFC,Test,PR,0.9145,0.9395,0.8638,0.9268,0.4786,-0.051
SVC,Test,PR,0.9158,0.9563,0.8792,0.9355,0.4869,-0.0343
ABC,Test,RT,0.749,0.9555,0.726,0.8386,0.491,-0.0219
CNN,Test,RT,0.7411,0.8683,0.6733,0.7981,0.4735,-0.061
DTC,Test,RT,0.7412,0.7587,0.6198,0.7467,0.4774,-0.0435
GNB,Test,RT,0.6631,0.5487,0.5089,0.6002,0.4682,-0.0564
GPC,Test,RT,0.726,0.727,0.6052,0.7218,0.4804,-0.0498
KNN,Test,RT,0.7506,0.667,0.5817,0.7059,0.4943,-0.0116
MLP,Test,RT,0.7309,0.7758,0.6173,0.7492,0.455,-0.1021
QDA,Test,RT,0.8145,0.6532,0.5998,0.6522,0.5451,0.0862
RFC,Test,RT,0.7225,0.7251,0.5832,0.7238,0.4379,-0.1249
SVC,Test,RT,0.733,0.7858,0.624,0.7563,0.4581,-0.0926
