Title,pIC50,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
CHEMBL4858155,1,3.6103,153.7981,235.2828457,125.4,568.692,568.2243225,9,3,13,3,7,1,10,40,76,2,0,3,3,0,0,0,0,0,3,0,0,0.3,23.83679525,14.22272361,11.37132605,8.386540732,5.787982026,12.78266028,9.480771446,6.330488491,4.13310521,-3.86,30.67822901,13.97308458,8.075404146,14.79051451,67.79524703,21.23864996,0,24.97437738,83.7679084,0,6.076020107,0,0,17.2485355,0,32.89911487,0,9.622004595,0,43.35142754,20.76435149,89.99932791,0,17.2485355,22.00649099,25.0035693,4.794537184,8.417796984,4.305215991,0,36.39820241,73.86942152,18.66261734,31.26088577,5.749511833,11.49902367,15.93047088,0,0,30,0,0,0,0,1,0,2,0,7,0,40,20,4,0,9,9,0,13,16,9,3,3,0,0,9,7,5,1,12,6,0,0,0,0,3,0,0,0,0,0,0
CHEMBL48805,1,3.2754,153.1555,236.6398779,149.38,559.704,559.3257508,10,6,12,6,8,2,10,40,85,4,1,2,2,0,0,0,0,0,2,0,0,0.533333333,24.30861457,13.48802392,11.85868286,5.730533691,3.901994995,13.48802392,11.85868286,5.730533691,3.901994995,-3.34,32.86960665,14.87774528,13.14369664,15.95036581,76.08929119,22.31536915,0,52.66932618,54.59730362,0,0,0,9.589074368,5.749511833,0,34.38238246,0,15.95036581,0,89.8777825,13.08951281,65.7242066,0,5.749511833,12.18648014,40.7436739,0,9.589074368,0,0,42.46456948,77.64370356,13.08951281,24.29161443,16.95161346,0,0,0,12.18648014,30,0,0,0,0,0,0,3,0,7,0,40,27,2,0,6,6,0,12,17,10,6,6,0,0,11,9,6,2,9,3,0,0,0,0,2,0,0,0,0,0,0
CHEMBL59705,1,2.8074,184.3847,289.1779119,167.92,686.847,686.3890793,13,5,15,5,10,3,13,49,103,4,0,3,2,1,1,0,1,1,2,0,0,0.583333333,29.56889335,16.74830653,14.11802051,7.443646121,5.040836322,16.74830653,14.11802051,7.443646121,5.040836322,-3.91,39.52783719,18.74224382,15.45542393,20.68722877,114.700012,31.84676929,0,52.66932618,54.59730362,0,0,0,9.589074368,5.749511833,0,43.54411816,0,20.85027554,0,89.8777825,45.99967152,65.7242066,0,5.749511833,18.09365987,50.01078215,4.794537184,9.589074368,0,0,42.46456948,77.64370356,26.17902562,37.50537836,16.95161346,6.606881965,0,5.907179729,12.18648014,36,0,0,0,0,0,0,3,1,8,1,49,30,3,0,12,6,0,15,22,13,5,5,0,0,11,11,7,2,14,4,0,0,0,0,3,0,0,0,0,0,0
CHEMBL60357,1,3.2754,153.1555,236.6398779,149.38,559.704,559.3257508,10,6,12,6,8,2,10,40,85,4,0,2,2,0,0,0,0,0,2,0,0,0.533333333,24.30861457,13.48802392,11.85868286,5.730533691,3.901994995,13.48802392,11.85868286,5.730533691,3.901994995,-3.34,32.86960665,14.87774528,13.14369664,15.95036581,76.08929119,22.31536915,0,52.66932618,54.59730362,0,0,0,9.589074368,5.749511833,0,34.38238246,0,15.95036581,0,89.8777825,13.08951281,65.7242066,0,5.749511833,12.18648014,40.7436739,0,9.589074368,0,0,42.46456948,77.64370356,13.08951281,24.29161443,16.95161346,0,0,0,12.18648014,30,0,0,0,0,0,0,3,0,7,0,40,27,2,0,6,6,0,12,17,10,6,6,0,0,11,9,6,2,9,3,0,0,0,0,2,0,0,0,0,0,0
CHEMBL61118,1,3.2808,184.2447,285.0163898,150.85,672.864,672.4098148,12,5,16,5,10,2,12,48,104,4,0,3,2,1,1,0,1,1,2,0,0,0.611111111,29.36775184,16.78324997,14.13866117,7.497493707,5.109090547,16.78324997,14.13866117,7.497493707,5.109090547,-3.42,39.02254118,18.9453424,15.65235414,20.68722877,115.3375886,27.05223211,0,52.66932618,54.59730362,0,0,0,9.589074368,5.749511833,0,38.74958097,0,20.85027554,0,89.8777825,52.54442792,65.7242066,0,5.749511833,12.18648014,45.11087242,4.899909731,9.589074368,0,0,42.46456948,77.64370356,32.72378203,37.50537836,23.55849542,0,0,0,12.18648014,36,0,0,0,0,0,0,3,1,7,1,48,30,2,0,12,6,0,16,20,12,5,5,0,0,10,12,6,2,14,4,0,0,0,0,3,0,0,0,0,0,0
CHEMBL71143,1,2.2503,161.2776,252.6483698,155.09,596.725,596.3209997,11,5,7,5,7,4,11,43,87,4,0,4,2,0,2,0,0,2,2,0,0,0.5,25.51514101,14.63836861,12.01985028,6.782457355,4.547672306,14.63836861,12.01985028,6.782457355,4.547672306,-4.12,33.38292776,15.3792356,10.90240498,26.00401737,71.90348471,31.96211775,5.917906046,52.1664106,54.59730362,0,0,0,4.794537184,5.749511833,0,33.75840204,0,21.26715442,5.917906046,83.71169055,13.15163837,65.7242066,0,5.749511833,23.81477926,35.84740772,14.38361155,4.794537184,0,0,56.31204388,62.79039801,12.96557803,12.64872279,23.4342443,6.103966388,11.81435946,5.907179729,6.093240071,32,0,0,0,0,0,0,2,2,6,1,43,17,4,0,18,6,0,7,18,11,5,5,0,0,10,4,5,1,16,7,0,0,0,0,2,0,0,0,2,17,18
CHEMBL4639505,1,2.0913,152.1538,242.689774,188.77,603.65,603.1886653,13,4,14,4,10,1,14,42,75,3,0,3,3,0,0,0,0,0,3,0,0,0.321428571,24.02277499,14.21458763,11.42135333,8.215625752,5.776948978,12.7745243,9.483418346,6.369763227,4.237811197,-4.24,32.27678279,14.09016743,7.941732041,14.79051451,84.43196744,16.44411278,10.11431827,22.84517737,71.62552123,0,0,0,5.687386275,17.2485355,0,42.92895331,0,9.622004595,0,36.4898159,27.30910789,87.97125901,0,17.2485355,21.61785716,30.1100967,14.90885545,8.417796984,4.305215991,0,30.33183534,31.04074445,37.35498109,47.8516147,5.749511833,11.49902367,10.02329115,11.594566,0,28,0,0,0,0,1,0,3,0,10,0,42,22,4,0,9,9,0,14,24,13,4,4,1,1,11,6,6,1,11,7,0,0,0,0,3,0,0,0,0,0,0
CHEMBL4785073,1,3.4327,160.8942,244.3226797,152.17,593.702,593.2195715,10,4,12,3,8,1,11,42,77,2,0,4,4,0,0,1,0,0,3,0,0,0.290322581,24.50493672,14.92073578,12.41115175,8.590373449,6.198584661,13.48067245,10.47321677,6.744510924,4.577042348,-4.19,30.76133099,13.19553049,7.354901102,21.41290535,56.08183767,16.44411278,5.917906046,29.76891457,92.96994349,0,10.96924436,0,5.687386275,5.749511833,0,27.47287545,0,9.622004595,5.917906046,37.30958671,25.93297783,100.4097984,0,5.749511833,32.58710151,25.31099737,4.794537184,13.21233417,4.305215991,0,44.17930974,60.36674864,30.22949037,24.15108823,16.89598347,0,10.02329115,5.907179729,5.625586319,31,0,0,0,0,1,0,3,0,6,1,42,18,4,0,12,11,0,12,17,10,4,3,0,0,9,5,5,1,14,8,0,0,0,0,4,0,0,0,0,2,1
CHEMBL74629,1,2.5748,153.7572,237.3744953,103.37,552.716,552.3311705,9,3,10,3,7,2,9,40,84,4,0,4,2,2,2,0,2,2,2,0,0,0.548387097,23.92149875,14.25336062,11.86950668,7.274534328,5.243829664,14.25336062,11.86950668,7.274534328,5.243829664,-2.98,29.98953023,14.07634113,9.298945884,10.63357721,96.1300959,27.23384112,0,38.31893621,60.66367068,0,0,0,4.794537184,0,0,24.16932767,0,20.43339667,0,69.98815094,39.39278955,71.79057367,0,0,12.0004198,25.21383051,14.59435665,4.794537184,0,0,60.66367068,38.31893621,44.6835289,25.35957115,12.14580722,0,5.907179729,0,6.093240071,31,0,0,0,0,0,0,2,2,4,1,40,18,2,0,17,6,0,10,14,9,3,3,0,0,6,6,4,1,17,6,0,0,0,1,3,0,0,0,0,0,0
CHEMBL74862,1,2.2804,155.422,242.1687291,123.6,568.715,568.3260851,10,4,10,4,8,2,10,41,85,4,0,4,2,2,2,0,2,2,2,0,0,0.548387097,24.29136207,14.39363408,12.01262045,7.411096181,5.2876464,14.39363408,12.01262045,7.411096181,5.2876464,-3.18,30.77110499,14.1311912,9.425664584,10.63357721,101.2366233,27.23384112,0,38.31893621,54.59730362,0,0,0,4.794537184,5.749511833,0,29.27585507,0,20.43339667,0,69.98815094,39.39278955,65.7242066,0,5.749511833,12.0004198,30.32035791,14.59435665,4.794537184,0,0,48.53093655,38.82185178,50.2469804,25.35957115,17.89531905,0,5.907179729,0,6.093240071,31,0,0,0,0,0,0,2,2,5,1,41,19,2,0,17,6,0,10,16,10,4,4,0,0,7,6,4,1,16,7,0,0,0,1,3,0,0,0,0,0,0
